RFID_code	,Name		,College Name		,Phone Number	,email		,Event               
12234545,vinay bommana,anits,9848022338,vinaybomm,Model Presentation
12345,talasu manikanta,vignan,3456789012,kantp,Model Presentation
12345,vinay bommana,anits,8332098992,vinaybommana7@gmail.com,Model Presentation
12345,vinay bommana,anits,8332098992,vinaybommana7@gmail.com,Model Presentation
12345,a b,a,8332098992,a@a.com,Model Presentation
7889998,vinay bommana,anits,8332098992,bommanan@gmail.com,Model Presentation
a,b c,anits,7660993932,a,Model Presentation
b,c d,anits,8332098992,d,Model Presentation
4567,talasu manikanta,anits,8332098992,tmanikanta64@gmail.com,Model Presentation
8765,tmanikanta hai,hao,8332098992,hai,Model Presentation
897,spandana talasu,anits,8332098992,tmani,Model Presentation
987,manikanta spandana,anits,8332098992,m,Model Presentation
987,nani lk,anits,8332098992,tmani,Model Presentation
6754,mani mani,anits,8332098992,tmanikanta64,Model Presentation
msni7,hai spandana,mani,8332098992,mani,Model Presentation
